trial,rung,epochs,lr,k,img,wd,ema,train_l1,val_l1,val_first_action
0,0,6,0.0003,16,96,0.0001,0.999,0.23596,0.69247,0.008444
1,0,6,0.0003,16,128,0.0001,0.0,0.25961,0.42843,0.005192
2,0,6,0.001,8,128,0.0,0.0,0.22651,0.39204,0.004154
3,0,6,0.001,16,96,0.0001,0.0,0.22035,0.36372,0.004066
4,0,6,0.001,8,128,0.0001,0.0,0.22473,0.36993,0.003628
5,0,6,0.0003,16,128,0.001,0.0,0.25728,0.4401,0.005388
6,0,6,0.001,16,128,0.001,0.999,0.24156,0.68672,0.008272
7,0,6,0.0001,24,96,0.0,0.999,0.35133,0.68155,0.008308
8,0,6,0.001,24,96,0.001,0.999,0.22287,0.67737,0.008105
9,0,6,0.0003,8,128,0.001,0.0,0.26555,0.42144,0.004569
10,0,6,0.0001,24,96,0.0,0.0,0.35424,0.47475,0.005646
11,0,6,0.001,16,96,0.0,0.999,0.20594,0.68517,0.007798
2,1,18,0.001,8,128,0.0,0.0,0.13349,0.41633,0.004387
3,1,18,0.001,16,96,0.0001,0.0,0.11945,0.32669,0.003828
4,1,18,0.001,8,128,0.0001,0.0,0.12356,0.38873,0.003699
9,1,18,0.0003,8,128,0.001,0.0,0.14927,0.38356,0.004138
3,2,54,0.001,16,96,0.0001,0.0,0.06161,0.33207,0.003504
4,2,54,0.001,8,128,0.0001,0.0,0.05881,0.34388,0.003162
